epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3011,3.17136,3.77628,3.87318,1.43518,0.00711,0.20382,0.0052,0.00153,0.00944,0.2707,0.00746,0.00228,2.88466,3.53652,4.06362,1.32215,0.00046,0.00046,0.00046
2,140.807,2.56863,3.20512,2.52621,1.18145,0.01389,0.31847,0.00949,0.00298,0.01306,0.29936,0.00883,0.00264,2.58457,4.03246,5.28158,1.15525,0.000921388,0.000921388,0.000921388
3,204.793,2.48217,3.16036,2.19811,1.18626,0.39298,0.1051,0.08582,0.02818,0.45359,0.0714,0.08704,0.02611,2.4749,3.0907,2.74694,1.14284,0.00136377,0.00136377,0.00136377
4,269.278,2.47429,3.22512,2.04249,1.1506,0.42432,0.0446,0.08656,0.02874,0.39911,0.0414,0.07831,0.02338,2.84379,3.03759,2.83433,1.32857,0.00178714,0.00178714,0.00178714
5,338.636,2.18853,2.89153,1.7153,1.09673,0.28992,0.13376,0.09611,0.04181,0.27612,0.12739,0.0818,0.02756,2.41521,3.24408,2.37985,1.20765,0.0018416,0.0018416,0.0018416
6,409.333,2.30065,3.01911,1.74384,1.13176,0.33991,0.14013,0.12272,0.04032,0.24975,0.11874,0.07504,0.02196,2.68914,3.44162,2.13012,1.18497,0.001802,0.001802,0.001802
7,487.513,2.14239,2.84193,1.58617,1.07642,0.43231,0.16561,0.15204,0.06079,0.41639,0.15924,0.13975,0.04658,2.42915,3.67055,1.81225,1.16686,0.0017624,0.0017624,0.0017624
8,560.154,2.08528,2.82813,1.49398,1.07363,0.44078,0.19427,0.18421,0.06894,0.382,0.19745,0.17705,0.06243,2.32644,2.98651,1.48681,1.1659,0.0017228,0.0017228,0.0017228
9,628.043,2.02043,2.66198,1.39631,1.05654,0.42471,0.13637,0.13667,0.05306,0.40488,0.13,0.11839,0.03494,2.32714,2.97433,1.98291,1.112,0.0016832,0.0016832,0.0016832
10,689.554,2.1017,2.87278,1.41742,1.06923,0.45926,0.11465,0.10791,0.0361,0.45437,0.11139,0.10226,0.03124,2.55768,16.5541,2.22831,1.19589,0.0016436,0.0016436,0.0016436
11,757.368,2.09698,2.89312,1.40869,1.06576,0.56984,0.18471,0.1884,0.07328,0.44257,0.15425,0.14303,0.04678,2.41428,2.97405,1.44466,1.13396,0.001604,0.001604,0.001604
12,830.188,2.04724,2.73513,1.35072,1.05938,0.47451,0.17197,0.16901,0.07088,0.37504,0.15924,0.14616,0.04938,2.32703,2.86572,1.83874,1.1112,0.0015644,0.0015644,0.0015644
13,909.211,1.99345,2.69286,1.31583,1.04651,0.61786,0.12102,0.13626,0.05136,0.49476,0.11465,0.11809,0.03583,2.38547,3.00996,2.04972,1.13291,0.0015248,0.0015248,0.0015248
14,977.171,1.94819,2.65482,1.23737,1.02425,0.5839,0.1879,0.18497,0.0718,0.54464,0.17834,0.17669,0.05754,2.41922,2.87744,2.00878,1.16244,0.0014852,0.0014852,0.0014852
15,1043.45,1.96941,2.64896,1.1969,1.03903,0.61972,0.20701,0.23794,0.10285,0.58763,0.19061,0.20636,0.07697,2.09919,3.09942,1.3974,1.05517,0.0014456,0.0014456,0.0014456
16,1119.59,1.95278,2.74566,1.19727,1.03302,0.43411,0.16561,0.16179,0.07294,0.38383,0.15605,0.13877,0.06405,2.15758,3.12117,1.43865,1.07365,0.001406,0.001406,0.001406
17,1190.07,1.92263,2.6539,1.14882,1.02606,0.64776,0.22293,0.22739,0.09974,0.38685,0.21656,0.19279,0.0785,2.09953,2.59475,1.14189,1.0704,0.0013664,0.0013664,0.0013664
18,1265.14,1.92703,2.67707,1.1635,1.03016,0.43942,0.20382,0.19664,0.08297,0.62642,0.15605,0.16961,0.05765,2.13656,2.66578,1.20554,1.07527,0.0013268,0.0013268,0.0013268
19,1342.5,1.92671,2.69287,1.15735,1.02705,0.57086,0.20335,0.2513,0.1026,0.43867,0.17834,0.2181,0.08491,2.23881,2.69279,1.29478,1.09008,0.0012872,0.0012872,0.0012872
20,1424.14,1.94699,2.64616,1.12007,1.03221,0.46572,0.20382,0.18649,0.07968,0.35399,0.18153,0.15793,0.05296,2.15668,2.6925,1.30392,1.07804,0.0012476,0.0012476,0.0012476
21,1504.41,1.92744,2.72448,1.12989,1.02499,0.48069,0.21019,0.21591,0.10138,0.39376,0.17834,0.18586,0.06459,2.17376,2.59769,1.25517,1.07978,0.001208,0.001208,0.001208
22,1585.74,1.90451,2.6135,1.14125,1.0239,0.66996,0.20687,0.254,0.10766,0.55599,0.20382,0.23866,0.09663,2.11124,2.74642,1.14968,1.07749,0.0011684,0.0011684,0.0011684
23,1675.75,1.88252,2.57558,1.08985,0.99989,0.75281,0.22611,0.28346,0.13393,0.63875,0.21019,0.26253,0.10829,2.06692,2.8446,1.45227,1.0562,0.0011288,0.0011288,0.0011288
24,1746.28,1.86253,2.60297,1.06104,1.01152,0.68302,0.24522,0.29645,0.13109,0.60336,0.22611,0.27565,0.11446,2.12383,2.79633,1.20737,1.07231,0.0010892,0.0010892,0.0010892
25,1821.77,1.80039,2.48306,1.05718,1.0084,0.55588,0.21656,0.2274,0.09754,0.52242,0.21019,0.22498,0.09488,2.10492,2.66516,1.1933,1.07081,0.0010496,0.0010496,0.0010496
26,1898.9,1.83493,2.47213,1.08146,0.99874,0.4702,0.23742,0.25152,0.10808,0.37828,0.23567,0.22023,0.07746,2.18061,2.69803,1.14557,1.09263,0.00101,0.00101,0.00101
27,1979.6,1.89167,2.62663,1.07384,1.00694,0.60052,0.28344,0.31375,0.14093,0.56681,0.2707,0.29799,0.12314,2.11505,2.65688,1.19965,1.07825,0.0009704,0.0009704,0.0009704
28,2063.54,1.92357,2.63538,1.11932,1.00145,0.69945,0.29936,0.3444,0.15276,0.60271,0.25796,0.29703,0.11854,2.11575,2.57409,1.11038,1.06738,0.0009308,0.0009308,0.0009308
29,2146.55,1.83727,2.53928,1.06298,0.99804,0.61962,0.23248,0.25962,0.11543,0.49252,0.20709,0.21935,0.08779,2.09176,2.58921,1.07402,1.07004,0.0008912,0.0008912,0.0008912
30,2235.12,1.76911,2.48311,0.99409,0.99385,0.75388,0.33439,0.39003,0.19128,0.72225,0.28662,0.34591,0.13722,2.16685,2.5495,1.10984,1.10459,0.0008516,0.0008516,0.0008516
31,2315.09,1.77531,2.43902,0.98447,0.97712,0.75429,0.31847,0.37219,0.1789,0.71064,0.29936,0.35573,0.15168,2.1354,2.67711,1.07466,1.09665,0.000812,0.000812,0.000812
32,2396.5,1.74629,2.42195,0.98096,0.98152,0.74197,0.25642,0.311,0.15018,0.62022,0.24522,0.29858,0.11293,2.03003,2.60381,1.07894,1.04991,0.0007724,0.0007724,0.0007724
33,2478.08,1.83607,2.54546,1.00658,1.00052,0.79791,0.4172,0.47562,0.24432,0.75488,0.40213,0.44749,0.1666,2.02104,2.66731,1.03296,1.0624,0.0007328,0.0007328,0.0007328
34,2559.96,1.75991,2.43104,0.98057,0.97312,0.72348,0.32497,0.38502,0.18521,0.66716,0.30003,0.3675,0.15712,2.05298,2.65301,1.04855,1.05477,0.0006932,0.0006932,0.0006932
35,2626.73,1.72261,2.37551,0.93176,0.97414,0.74399,0.36096,0.40155,0.19507,0.75615,0.30573,0.36491,0.14182,2.05256,2.6322,1.04734,1.07359,0.0006536,0.0006536,0.0006536
36,2689.81,1.79576,2.44133,0.98796,0.99303,0.7661,0.25159,0.32285,0.1504,0.69891,0.2293,0.29745,0.12147,2.11518,2.59924,1.08287,1.07594,0.000614,0.000614,0.000614
37,2759.01,1.72497,2.39741,0.93978,0.96963,0.80443,0.45849,0.53739,0.27021,0.78668,0.44629,0.53234,0.2113,1.99368,2.54732,1.07215,1.03852,0.0005744,0.0005744,0.0005744
38,2824.78,1.7526,2.45711,0.96518,0.98749,0.85302,0.55451,0.65628,0.32312,0.83964,0.51693,0.61382,0.23343,2.09723,2.59643,1.03919,1.06406,0.0005348,0.0005348,0.0005348
39,2899.75,1.67709,2.32676,0.91763,0.98547,0.79081,0.60196,0.68716,0.32934,0.72941,0.5414,0.62194,0.22778,2.05197,2.71641,1.02126,1.05234,0.0004952,0.0004952,0.0004952
40,2963.01,1.72829,2.4066,0.91964,0.98131,0.79581,0.60818,0.69084,0.33877,0.71174,0.55732,0.61578,0.22984,2.06916,2.62671,1.04801,1.05929,0.0004556,0.0004556,0.0004556
41,3028.35,1.71978,2.39755,1.00725,1.0247,0.83446,0.57643,0.64788,0.32104,0.78238,0.53814,0.6016,0.23093,2.05855,2.62407,1.02227,1.05658,0.000416,0.000416,0.000416
42,3099.57,1.63378,2.28803,0.87207,0.99642,0.81729,0.63057,0.67718,0.33181,0.7964,0.53185,0.61058,0.23485,2.03651,2.58031,1.01997,1.0589,0.0003764,0.0003764,0.0003764
43,3174.31,1.64695,2.35064,0.87959,0.99723,0.82674,0.69904,0.78165,0.39099,0.75334,0.6242,0.69036,0.23481,2.08933,2.59583,1.04252,1.05943,0.0003368,0.0003368,0.0003368
44,3239.61,1.61473,2.28555,0.85651,0.99023,0.81224,0.61995,0.67582,0.33234,0.76357,0.54511,0.613,0.235,2.06455,2.6285,1.0331,1.06983,0.0002972,0.0002972,0.0002972
